nama,harga,penjual,kota,total_terjual,rating
SEBLAK KOMPLIT EXTRA PEDAS DENGAN BUMBU SPECIAL,12500,jsr rempah indonesia,Jakarta Selatan,29,4.7
Kylafood Seblak Kwetiaw play,22325,kylafood,Bandung,500,5.0
Kylafood Seblak Kwetiaw,22325,kylafood,Bandung,4000,4.9
Kylafood Basreng Pedas 1000g,127880,kylafood,Bandung,100,5.0
cuanki tahu gepeng isi 100 pcs toping seblak bsso aci,38999,CUANKI CULAMETAN,Kab. Garut,100,4.9
Kylafood Basreng pedas kemasan isi 5 pcs,63940,kylafood,Bandung,30,5.0
krupuk seblak bumbu kacang,16800,H Nugraha,Bandung,30,4.8
Kerupuk seblak kering kencur 500gram /seblak kering pedas daun jeruk,24700,oyun kriukzz,Kab. Bekasi,750,4.9
KERUPUK OREN - KERUPUK SEBLAK MENTAH - 500GRAM - ANEKA SAYURAN SEGAR,10000,Aneka Sayuran Segar,Jakarta Utara,80,4.9
seblak kering kerupuk campur bumbu kacang,15000,abqorycandy,Kab. Bandung,1,0.0
kerupuk seblak kencur pedas,15000,shofia snack bekasi,Kab. Bekasi,100,4.9
"makaroni kriuk 500g pedas extra daun jeruk,cemilan nikmat,seblak,makan",23000,anugrah seblak,Kab. Bandung,250,4.8
seblak instan isi 250g / seblak bondol / seblak pedas / kuliner bondol,17999,KULINER KHAS SUKABUMI,Kab. Sukabumi,100,5.0
BUBUK CABAI/CABE BASO ACI/BOCI/SEBLAK/CUANKI ECERAN,699,ArfaOnlineShop,Tangerang,250,5.0
Kerupuk seblak merah,18000,Snackzone KK,Jakarta Selatan,28,4.9
kerupuk seblak keriting/seblak bulat/kerupuk keriting pedas,15000,shofia snack bekasi,Kab. Bekasi,100,4.7
Seblak Bawang Ceu mir,35000,Seblak CeuMir,Kab. Bandung,100,5.0
Krupuk Seblak Kencur 250 gram,12000,Hosana Snack,Bogor,100,4.9
kerupuk seblak rafael 500gram,13800,arzy sembako,Kab. Bogor,40,5.0
Cuanki tahu Gepeng Geprek isi 20 pcs toping seblak baso Aci baso,8500,Distributor Cuanki dan Seblak,Kab. Bekasi,90,4.8
Baso Aci & Seblak Home Made,5500,Rodhi snack,Kab. Nganjuk,17,5.0
Seblak Geprek Soun Mie Samiraos 200gr,16500,Pedas Gilaa,Surabaya,250,4.9
Mamafuji - Seblak Instan viral (DUTA SEBLAK APPROVED),23999,Mama Fuji Official,Tangerang,30,4.7
Seblak Kencur 250gr/Kerupuk Seblak Rasa Kencur/Snack Cemilan,11600,Agen Snack Murah,Jakarta Barat,100,5.0
Kerupuk Seblak Nuri,98200,mitra jaya sembako,Tangerang,16,0.0
Pasar Keripik Kerupuk Seblak Mawar Pedas size Kiloan,60000,Pasar Keripik Bandung,Bandung,6,5.0
100gr Kerupuk Bawang Bintang Bunga Tersanjung Mentah seblak,6500,H M E,Jakarta Utara,2,4.0
kerupuk seblak rafael seblak mawar 1 kg,11500,zyvasnack,Kab. Purworejo,7,5.0
kerupuk seblak pedas daun jeruk 100gram,5000,seblak bandung99,Kab. Bandung,90,4.9
KRUPUK SEBLAK BANTET KENCUR 250gr / SNACK KILOAN MURAH / SEBLAK CIKUR,8999,almasnack,Kab. Bekasi,60,4.9
KERUPUK SEBLAK JENGKOL KHAS CIAMIS JABAR,16000,Keripik Mbok Emplok,Surabaya,26,4.8
seblak basreng pedas 200gram barseng daun jeruk,10000,seblak bandung99,Kab. Bandung,250,4.4
Seblak instant Kylafood,10000,JPP Food,Surabaya,11,5.0
INDOMIE MIE KUAH INSTANT RASA SEBLAK HOT JELETOT 75 GR,3100,Hypermart Cibubur Junction,Jakarta Timur,100,5.0
bundling Seblak instan Ajahh Unyuu,49000,Seblak Jeletet Murni,Jakarta Pusat,40,4.8
Kerupuk Keong MINI isi 1KG Bahan Seblak by GG (Bisa COD/Grosir/Kargo),21069,gaiagarut,Kab. Garut,12,5.0
Seblak Instan Bandung Ceu N'thien 100 gram,17500,Snack Sehati,Pekanbaru,0,0.0
Kylafood Seblak Original,18000,kylafood,Bandung,10000,4.9
baso aci / seblak instan,6000,Nyum_mama,Pekanbaru,40,4.6
CUANKIE SIOMAY ISI 50 TOPPING BASO ACI / SEBLAK,18000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,29,4.5
"150 Pcs CUANKI SIOMAY Kering Topping Pelengkap Baso Aci, Seblak",34500,Endo Shop ID,Kab. Garut,30,5.0
Seblak Bapper Instan Hot Spicy/Seblak Bapper Pedas,16900,V3 OnSHop,Surabaya,21,4.9
seblak instan mama fuji,39950,meshop official_id,Jakarta Barat,8,0.0
